embryonic_score,celltype,condition,x_group,color_cond
0.008646850602657328,All fibroblasts,Control,CTRL,Control
-0.1655413448884328,All fibroblasts,Control,CTRL,Control
0.008354483580347218,All fibroblasts,Control,CTRL,Control
-0.17741253480843594,All fibroblasts,Control,CTRL,Control
-0.19967791145390132,All fibroblasts,Control,CTRL,Control
-0.02733663525986293,All fibroblasts,Control,CTRL,Control
-0.10267706768529182,All fibroblasts,Control,CTRL,Control
-0.1337994452857041,All fibroblasts,Control,CTRL,Control
-0.08137129581570672,All fibroblasts,Control,CTRL,Control
0.06817297220288403,All fibroblasts,Control,CTRL,Control
-0.20997759258683713,All fibroblasts,Control,CTRL,Control
-0.04776745036233539,All fibroblasts,Control,CTRL,Control
-0.18505827398537902,All fibroblasts,Control,CTRL,Control
-0.13529477364158302,All fibroblasts,Control,CTRL,Control
-0.11657625683082086,All fibroblasts,Control,CTRL,Control
-0.04178966329708916,All fibroblasts,Control,CTRL,Control
-0.09781044227549852,All fibroblasts,Control,CTRL,Control
-0.05420405186350305,All fibroblasts,Control,CTRL,Control
-0.15606737750733427,All fibroblasts,Control,CTRL,Control
-0.05071333608103,All fibroblasts,Control,CTRL,Control
-0.10399018579412427,All fibroblasts,Control,CTRL,Control
0.00929768719766344,All fibroblasts,Control,CTRL,Control
-0.057692504351117,All fibroblasts,Control,CTRL,Control
-0.12626938388279413,All fibroblasts,Control,CTRL,Control
-0.13584082994857286,All fibroblasts,Control,CTRL,Control
-0.014194605076256252,All fibroblasts,Control,CTRL,Control
0.06830610934005928,All fibroblasts,Control,CTRL,Control
-0.04397616186638257,All fibroblasts,Control,CTRL,Control
0.062483798045204667,All fibroblasts,Control,CTRL,Control
-0.0503232892235218,All fibroblasts,Control,CTRL,Control
-0.09734232619302965,All fibroblasts,Control,CTRL,Control
-0.004049984668463437,All fibroblasts,Control,CTRL,Control
-0.13548766487904546,All fibroblasts,Control,CTRL,Control
-0.17434853051777172,All fibroblasts,Control,CTRL,Control
-0.10470662976820069,All fibroblasts,Control,CTRL,Control
-0.05754412002337052,All fibroblasts,Control,CTRL,Control
-0.08392645206342682,All fibroblasts,Control,CTRL,Control
-0.07725626276723657,All fibroblasts,Control,CTRL,Control
0.04597706294359793,All fibroblasts,Control,CTRL,Control
-0.007057459273197217,All fibroblasts,Control,CTRL,Control
-0.020540275028128004,All fibroblasts,Control,CTRL,Control
-0.08234937366139465,All fibroblasts,Control,CTRL,Control
-0.09723068961212393,All fibroblasts,Control,CTRL,Control
0.05459797523091475,All fibroblasts,Control,CTRL,Control
-0.12374226627681756,All fibroblasts,Control,CTRL,Control
-0.03614579681519447,All fibroblasts,Control,CTRL,Control
-0.14914712106276382,All fibroblasts,Control,CTRL,Control
-0.14226431556801558,All fibroblasts,Control,CTRL,Control
-0.13855410542601507,All fibroblasts,Control,CTRL,Control
-0.1108060970320669,All fibroblasts,Control,CTRL,Control
-0.05118944064381296,All fibroblasts,Control,CTRL,Control
-0.0206902348646758,All fibroblasts,Control,CTRL,Control
-0.11027756172501302,All fibroblasts,Control,CTRL,Control
-0.06314574031195706,All fibroblasts,Control,CTRL,Control
-0.11994450481039248,All fibroblasts,Control,CTRL,Control
-0.09769127636997507,All fibroblasts,Control,CTRL,Control
-0.0870439955612414,All fibroblasts,Control,CTRL,Control
-0.07459102248242562,All fibroblasts,Control,CTRL,Control
-0.2355290615565404,All fibroblasts,Control,CTRL,Control
-0.054203399862980534,All fibroblasts,Control,CTRL,Control
-0.15164913019420193,All fibroblasts,Control,CTRL,Control
-0.055930680358282234,All fibroblasts,Control,CTRL,Control
-0.12645522419469984,All fibroblasts,Control,CTRL,Control
-0.11541852072893212,All fibroblasts,Control,CTRL,Control
-0.000775583714324438,All fibroblasts,Control,CTRL,Control
-0.15045880429386227,All fibroblasts,Control,CTRL,Control
-0.05858536980916147,All fibroblasts,Control,CTRL,Control
-0.10451108411414405,All fibroblasts,Control,CTRL,Control
-0.15421493874623687,All fibroblasts,Control,CTRL,Control
-0.18878056540041405,All fibroblasts,Control,CTRL,Control
-0.14194887790515864,All fibroblasts,Control,CTRL,Control
-0.14618925360619342,All fibroblasts,Control,CTRL,Control
-0.005083400969535072,All fibroblasts,Control,CTRL,Control
-0.15888459065905514,All fibroblasts,Control,CTRL,Control
-0.06965671742142256,All fibroblasts,Control,CTRL,Control
-0.08409487738717515,All fibroblasts,Control,CTRL,Control
-0.15376570657401165,All fibroblasts,Control,CTRL,Control
-0.10877336657852217,All fibroblasts,Control,CTRL,Control
-0.11111587143605778,All fibroblasts,Control,CTRL,Control
