embryonic_score,celltype,condition,celltype_short
-0.09206954997622302,Fibroblast 2,Control,FIB2
-0.1517114666505635,Fibroblast 3,Control,FIB3
-0.02942023366108207,Fibroblast 3,Control,FIB3
-0.08962247108986453,Fibroblast 2,Control,FIB2
-0.024523737280110276,Fibroblast 1,Control,FIB1
-0.015750138993454732,Fibroblast 2,Control,FIB2
-0.10496006571207026,Fibroblast 2,Control,FIB2
-0.0983780169126828,Fibroblast 1,Control,FIB1
-0.050449662348420854,Fibroblast 1,Control,FIB1
-0.1199679606892137,Fibroblast 2,Control,FIB2
-0.0748226305787428,Fibroblast 2,Control,FIB2
-0.15387323034019407,Fibroblast 2,Control,FIB2
-0.15835648664536373,Fibroblast 3,Control,FIB3
-0.13993139258512052,Fibroblast 3,Control,FIB3
-0.0926511062063442,Fibroblast 1,Control,FIB1
-0.023703603854974997,Fibroblast 3,Control,FIB3
-0.16227769778581472,Fibroblast 2,Control,FIB2
-0.07646242151349412,Fibroblast 2,Control,FIB2
-0.0591677975704153,Fibroblast 2,Control,FIB2
-0.1152659091787322,Fibroblast 3,Control,FIB3
0.08481914736883267,Fibroblast 3,Control,FIB3
-0.1349021875777858,Fibroblast 2,Control,FIB2
-0.17206366737578957,Fibroblast 2,Control,FIB2
-0.13339784173527605,Fibroblast 3,Control,FIB3
0.017313687806069365,Fibroblast 1,Control,FIB1
-0.06862003977592371,Fibroblast 3,Control,FIB3
-0.06486005649662749,Fibroblast 3,Control,FIB3
-0.14296820941087574,Fibroblast 3,Control,FIB3
-0.0375973750164631,Fibroblast 2,Control,FIB2
-0.05651205876391124,Fibroblast 2,Control,FIB2
-0.017030758131801407,Fibroblast 1,Control,FIB1
-0.013195271034988736,Fibroblast 1,Control,FIB1
-0.093423211664066,Fibroblast 2,Control,FIB2
-0.04844519622987135,Fibroblast 3,Control,FIB3
-0.11947780912078833,Fibroblast 2,Control,FIB2
-0.18861612018791413,Fibroblast 3,Control,FIB3
-0.027436029565406254,Fibroblast 2,Control,FIB2
-0.1045962233913535,Fibroblast 1,Control,FIB1
0.047160444872963614,Fibroblast 1,Control,FIB1
-0.10061240356406698,Fibroblast 1,Control,FIB1
-0.13736581094915865,Fibroblast 2,Control,FIB2
-0.06559583277593974,Fibroblast 2,Control,FIB2
-0.10069230724019493,Fibroblast 3,Control,FIB3
-0.15257909919960372,Fibroblast 3,Control,FIB3
-0.2103173192038108,Fibroblast 3,Control,FIB3
