embryonic_score,celltype,condition,celltype_short
-0.005474907492633775,Fibroblast 3,Control,FIB3
-0.1454515007179617,Fibroblast 1,Control,FIB1
-0.10155935597730842,Fibroblast 1,Control,FIB1
0.06366128408091026,Fibroblast 3,Control,FIB3
-0.2983857946711644,Fibroblast 1,Control,FIB1
-0.1690827617688946,Fibroblast 2,Control,FIB2
-0.10690225181975824,Fibroblast 3,Control,FIB3
-0.049746487289735256,Fibroblast 2,Control,FIB2
-0.031713279846530634,Fibroblast 3,Control,FIB3
-0.11517707563235188,Fibroblast 2,Control,FIB2
-0.08450389083618658,Fibroblast 2,Control,FIB2
-0.0461522942987475,Fibroblast 2,Control,FIB2
0.1580875681320834,Fibroblast 2,Control,FIB2
0.0479348426019381,Fibroblast 4,Control,FIB4
0.04474884767633903,Fibroblast 1,Control,FIB1
0.0073369775583965735,Fibroblast 4,Control,FIB4
0.07405257546919465,Fibroblast 3,Control,FIB3
0.03409527089136123,Fibroblast 3,Control,FIB3
0.029617537334210964,Fibroblast 3,Control,FIB3
-0.09284815553792893,Fibroblast 2,Control,FIB2
-0.07447231791186851,Fibroblast 2,Control,FIB2
0.052699354121310105,Fibroblast 4,Control,FIB4
-0.025179888222230416,Fibroblast 1,Control,FIB1
-0.10299624089079407,Fibroblast 2,Control,FIB2
-0.04708351902262932,Fibroblast 3,Control,FIB3
-0.13819358079042474,Fibroblast 2,Control,FIB2
-0.010579863045404887,Fibroblast 3,Control,FIB3
-0.08494989171956682,Fibroblast 2,Control,FIB2
0.045307852050297866,Fibroblast 1,Control,FIB1
-0.028616575976426487,Fibroblast 2,Control,FIB2
0.011832949172206626,Fibroblast 2,Control,FIB2
-0.19472830345067507,Fibroblast 3,Control,FIB3
-0.06481979274775071,Fibroblast 3,Control,FIB3
-0.06506581400766617,Fibroblast 2,Control,FIB2
0.056832781967197515,Fibroblast 1,Control,FIB1
-0.13700575621852423,Fibroblast 2,Control,FIB2
-0.017350191746490367,Fibroblast 1,Control,FIB1
-0.06201457843391108,Fibroblast 1,Control,FIB1
-0.020789253213068296,Fibroblast 1,Control,FIB1
0.04590573199243633,Fibroblast 1,Control,FIB1
-0.275772736964498,Fibroblast 2,Control,FIB2
