"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061430","bone trabecula morphogenesis","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Grem1/Wnt10b",2
"GO:0072077","renal vesicle morphogenesis","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Grem1/Cited1",2
"GO:0080154","regulation of fertilization","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Cfap69/Rnase10",2
"GO:1903727","positive regulation of phospholipid metabolic process","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Nr1h4/Adgrf5",2
"GO:1904424","regulation of GTP binding","2/512","18/28943",0.0396376739612517,0.188850170928169,0.153562654562982,"Stmn1/Ripor2",2
"GO:1903825","organic acid transmembrane transport","6/512","141/28943",0.0397598190890656,0.189195034013301,0.153843078406674,"Rgs4/Abcb1a/Abcb1b/Slc29a4/Slc7a8/Slc38a4",6
"GO:0032386","regulation of intracellular transport","11/512","339/28943",0.0400758415386936,0.190460436912641,0.154872034998872,"Bard1/Ect2/Il6/Ank3/Cdk1/Brca1/Spag5/Ccl2/Arhgap8/Mtcl1/Kif20b",11
"GO:0045066","regulatory T cell differentiation","3/512","43/28943",0.0403103335611198,0.191097117455583,0.155389748876505,"Cd44/Fancd2/Fanca",3
"GO:1901568","fatty acid derivative metabolic process","3/512","43/28943",0.0403103335611198,0.191097117455583,0.155389748876505,"Acsl4/Far1/Hmgcll1",3
"GO:0048662","negative regulation of smooth muscle cell proliferation","4/512","73/28943",0.0405237730826924,0.191352394000546,0.155597325833939,"Rgs5/Npr1/Ang2/Tafa5",4
"GO:1904894","positive regulation of receptor signaling pathway via STAT","4/512","73/28943",0.0405237730826924,0.191352394000546,0.155597325833939,"Cxcl5/Il6/Prl2c3/Prl2c2",4
"GO:1905330","regulation of morphogenesis of an epithelium","4/512","73/28943",0.0405237730826924,0.191352394000546,0.155597325833939,"Grem1/Hgf/Cxcl10/Ntn4",4
"GO:0031214","biomineral tissue development","7/512","179/28943",0.0406158290264179,0.191352394000546,0.155597325833939,"Grem1/S1pr1/Ecm1/P2rx7/Spp1/Fbxo5/Wnt10b",7
"GO:1902904","negative regulation of supramolecular fiber organization","7/512","179/28943",0.0406158290264179,0.191352394000546,0.155597325833939,"Tmeff2/Tpx2/S1pr1/Stmn1/Slit2/Gmfg/Ckap2",7
"GO:0045089","positive regulation of innate immune response","6/512","142/28943",0.0409217724065906,0.192367866969317,0.156423053043795,"Il18rap/Ereg/Ulbp1/Hmgb2/Cgas/Syk",6
"GO:0035265","organ growth","8/512","218/28943",0.0409325629611197,0.192367866969317,0.156423053043795,"Rgs4/Dusp9/S1pr1/Ecm1/Cdk1/Ang2/Poc1a/Ccnb1",8
"GO:0001503","ossification","13/512","426/28943",0.0413024680667261,0.193866646407028,0.157641778703021,"Tnn/Grem1/Cited1/S1pr1/Ecm1/P2rx7/Spp1/Il6/Col10a1/Fbxo5/Map2k6/Fignl1/Wnt10b",13
"GO:0001657","ureteric bud development","5/512","107/28943",0.0416780873063535,0.195147891550192,0.15868361734348,"Cd44/Grem1/Slit2/Timeless/Adamts16",5
"GO:0060993","kidney morphogenesis","5/512","107/28943",0.0416780873063535,0.195147891550192,0.15868361734348,"Cd44/Grem1/Cited1/Timeless/Adamts16",5
"GO:0034614","cellular response to reactive oxygen species","6/512","143/28943",0.0421049735715315,0.19668031218881,0.159929698191682,"Ect2/Hgf/Il6/Nqo1/Ripk3/Dhfr",6
"GO:0001885","endothelial cell development","4/512","74/28943",0.0422640228980162,0.19668031218881,0.159929698191682,"Sox18/Col15a1/Abcb1b/Notch4",4
"GO:0010833","telomere maintenance via telomere lengthening","4/512","74/28943",0.0422640228980162,0.19668031218881,0.159929698191682,"Nek2/Rad51/Pif1/Aurkb",4
"GO:0046824","positive regulation of nucleocytoplasmic transport","4/512","74/28943",0.0422640228980162,0.19668031218881,0.159929698191682,"Ect2/Il6/Cdk1/Brca1",4
"GO:0060675","ureteric bud morphogenesis","4/512","74/28943",0.0422640228980162,0.19668031218881,0.159929698191682,"Cd44/Grem1/Timeless/Adamts16",4
"GO:0051170","import into nucleus","7/512","181/28943",0.0426920898178017,0.198429493260736,0.161352036796916,"Ect2/Il6/Nup107/Cdk1/Brca1/Kpna2/Syk",7
"GO:0042177","negative regulation of protein catabolic process","5/512","108/28943",0.043093554709268,0.200050909651571,0.16267048413485,"Timp1/Mad2l1/Nqo1/Pbk/Ttc36",5
"GO:0045619","regulation of lymphocyte differentiation","8/512","221/28943",0.0437527861895801,0.201818750389576,0.164107995762392,"Inpp5d/Cd44/Hmgb3/Il6/Fancd2/Fanca/Syk/Wnt10b",8
"GO:0002244","hematopoietic progenitor cell differentiation","7/512","182/28943",0.043755499045919,0.201818750389576,0.164107995762392,"Mlf1/Flt1/Rbm47/Siglecg/Ankle1/Esco2/Anln",7
"GO:0030214","hyaluronan catabolic process","2/512","19/28943",0.0437928640377171,0.201818750389576,0.164107995762392,"Cd44/Hmmr",2
"GO:0033623","regulation of integrin activation","2/512","19/28943",0.0437928640377171,0.201818750389576,0.164107995762392,"Kif14/Selp",2
"GO:0045836","positive regulation of meiotic nuclear division","2/512","19/28943",0.0437928640377171,0.201818750389576,0.164107995762392,"Rad51ap1/Fbxo5",2
"GO:0060231","mesenchymal to epithelial transition","2/512","19/28943",0.0437928640377171,0.201818750389576,0.164107995762392,"Grem1/Cited1",2
"GO:0016445","somatic diversification of immunoglobulins","4/512","75/28943",0.0440458877722819,0.202493912104251,0.164657000429188,"Exo1/Nsd2/Atad5/Polq",4
"GO:1901292","nucleoside phosphate catabolic process","4/512","75/28943",0.0440458877722819,0.202493912104251,0.164657000429188,"Dut/Cda/Urah/Enpp3",4
"GO:0006304","DNA modification","5/512","109/28943",0.0445376180616622,0.204507275205845,0.1662941574461,"Dnmt3l/Dnmt1/Brca1/Mis18a/Hells",5
