"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010885","regulation of cholesterol storage","5/417","22/28943",1.30401752415199e-05,0.000718572044652109,0.000558689047661032,"Nr1h3/Lpl/Ces1a/Ces1d/Ces1f",5
"GO:0035634","response to stilbenoid","5/417","22/28943",1.30401752415199e-05,0.000718572044652109,0.000558689047661032,"Saa3/Saa2/Fgl1/Ly6d/Ifit3",5
"GO:0072001","renal system development","17/417","348/28943",1.42220205562261e-05,0.000772172057258628,0.000600363003975674,"Gsta3/Ren1/Lrp4/Cat/Agtr2/Spry1/Wnt2b/Fgfr2/Col4a1/Agt/Kirrel3/Wnk4/Hs3st3b1/Osr2/Adamts1/Adipoq/Plce1",17
"GO:0006633","fatty acid biosynthetic process","11/417","154/28943",1.54963794005046e-05,0.000829168590531345,0.000644677751718931,"Slc45a3/Olah/Nr1h3/Ptgds/Ceacam1/Apoc1/Acsm3/Avpr1a/Lpl/Agt/Edn1",11
"GO:0048660","regulation of smooth muscle cell proliferation","12/417","185/28943",1.69669217657435e-05,0.00089488393084464,0.000695771363235826,"Ppargc1a/Fgfr2/Igf1/Mmp2/Agt/Ang3/Edn1/Ogn/Nampt/Adamts1/Adipoq/Apod",12
"GO:0003014","renal system process","10/417","129/28943",1.85498704605274e-05,0.000951196135281491,0.000739554045992081,"Ren1/Agtr2/Slc4a5/Adm/Avpr1a/Agt/Wnk4/Trpv1/Edn1/Adipoq",10
"GO:0003073","regulation of systemic arterial blood pressure","10/417","129/28943",1.85498704605274e-05,0.000951196135281491,0.000739554045992081,"Ren1/Agtr2/Rarres2/Slc4a5/Klk1b24/Adm/Avpr1a/Agt/Trpv1/Edn1",10
"GO:0042832","defense response to protozoan","6/417","39/28943",1.88263556028427e-05,0.000952149381995826,0.000740295194361241,"Gbp8/Gbp4/Gbp6/Gbp11/Irf8/Iigp1",6
"GO:0098754","detoxification","7/417","58/28943",1.95649034490981e-05,0.000957276476658969,0.000744281505345558,"Gsta3/Prdx6/Cat/Slc22a18/Gch1/Aldh1a1/Aldh1a7",7
"GO:1905953","negative regulation of lipid localization","7/417","58/28943",1.95649034490981e-05,0.000957276476658969,0.000744281505345558,"Nr1h3/Agtr2/Apoc1/Pnpla2/Ces1a/Ces1d/Ces1f",7
"GO:1902652","secondary alcohol metabolic process","11/417","158/28943",1.97055829431424e-05,0.000957276476658969,0.000744281505345558,"Cat/Hmgcs2/Gnb3/Apoc1/Saa1/Cyp27b1/Ces1a/Ces1d/Ces1f/Fgl1/Npc1l1",11
"GO:0010878","cholesterol storage","5/417","24/28943",2.05536045651126e-05,0.000985505299407736,0.000766229386863459,"Nr1h3/Lpl/Ces1a/Ces1d/Ces1f",5
"GO:1904707","positive regulation of vascular associated smooth muscle cell proliferation","6/417","40/28943",2.18811180278131e-05,0.00103570625331648,0.000805260578432472,"Ppargc1a/Igf1/Mmp2/Agt/Edn1/Adamts1",6
"GO:0008543","fibroblast growth factor receptor signaling pathway","8/417","81/28943",2.23005207964244e-05,0.00104219649089113,0.000810306731670213,"Flrt3/Spry1/Fgfr2/Fgf17/Tbx2/Flrt2/Chrd/Smoc2",8
"GO:0048659","smooth muscle cell proliferation","12/417","192/28943",2.4542764572065e-05,0.0011326485850008,0.000880633144579228,"Ppargc1a/Fgfr2/Igf1/Mmp2/Agt/Ang3/Edn1/Ogn/Nampt/Adamts1/Adipoq/Apod",12
"GO:0060191","regulation of lipase activity","8/417","84/28943",2.91124837139265e-05,0.00132695419594835,0.00103170556319529,"Nr1h3/Pla2g5/Adcyap1r1/Apoc1/Fgfr2/Agt/Ang3/Gpihbp1",8
"GO:0010888","negative regulation of lipid storage","5/417","26/28943",3.10635104168419e-05,0.00139861561535342,0.0010874222452725,"Nr1h3/Pnpla2/Ces1a/Ces1d/Ces1f",5
"GO:0001822","kidney development","16/417","334/28943",3.20645102872473e-05,0.00142629122868093,0.00110894000701742,"Gsta3/Ren1/Lrp4/Cat/Agtr2/Spry1/Wnt2b/Fgfr2/Agt/Kirrel3/Wnk4/Hs3st3b1/Osr2/Adamts1/Adipoq/Plce1",16
"GO:0034341","response to interferon-gamma","10/417","139/28943",3.53808255683435e-05,0.00154752127973499,0.00120319625073768,"Gbp8/Gbp4/Gbp6/Gbp11/Cyp27b1/Irf8/Gch1/Tgtp1/Ccl6/Dapk1",10
"GO:0002526","acute inflammatory response","9/417","112/28943",3.64665090295082e-05,0.00154752127973499,0.00120319625073768,"Orm2/Ephb6/Saa3/Saa1/Saa2/Il20rb/Trpv1/Il31ra/C3",9
"GO:0006641","triglyceride metabolic process","9/417","112/28943",3.64665090295082e-05,0.00154752127973499,0.00120319625073768,"Nr1h3/Cat/Gnb3/Apoc1/Pnpla2/Lpl/Acsl6/Gpihbp1/C3",9
"GO:0030301","cholesterol transport","9/417","112/28943",3.64665090295082e-05,0.00154752127973499,0.00120319625073768,"Nr1h3/Apoc1/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Npc1l1/Adipoq",9
"GO:0060193","positive regulation of lipase activity","7/417","64/28943",3.75347185797062e-05,0.00157475205677586,0.00122436815271362,"Nr1h3/Pla2g5/Adcyap1r1/Fgfr2/Agt/Ang3/Gpihbp1",7
"GO:0001562","response to protozoan","6/417","44/28943",3.83327464053803e-05,0.00159016291829959,0.00123635008216998,"Gbp8/Gbp4/Gbp6/Gbp11/Irf8/Iigp1",6
"GO:0045940","positive regulation of steroid metabolic process","6/417","45/28943",4.3696503893032e-05,0.00179252769303416,0.00139368849258828,"Ppargc1a/Igf1/Ces1a/Ces1d/Ces1f/Agt",6
"GO:0046486","glycerolipid metabolic process","17/417","382/28943",4.61369047188527e-05,0.00187184013430774,0.00145535383653339,"Prdx6/Itpka/Nr1h3/Cat/Pla2g5/Gnb3/Apoc1/Pnpla2/Lpl/Ces1d/Ang3/Acsl6/Gdpd1/Gpihbp1/Gpd1/C3/Plce1",17
"GO:0015918","sterol transport","9/417","116/28943",4.8105893681704e-05,0.00193051042905273,0.00150096993215111,"Nr1h3/Apoc1/Ces1a/Ces1d/Ces1f/Eepd1/Abca8a/Npc1l1/Adipoq",9
"GO:0008203","cholesterol metabolic process","10/417","145/28943",5.07293637709415e-05,0.00195871605171408,0.00152289977562419,"Cat/Hmgcs2/Gnb3/Apoc1/Saa1/Ces1a/Ces1d/Ces1f/Fgl1/Npc1l1",10
"GO:0006957","complement activation, alternative pathway","4/417","15/28943",5.1120623205054e-05,0.00195871605171408,0.00152289977562419,"Cfi/Cfd/C3/Cfb",4
"GO:0010887","negative regulation of cholesterol storage","4/417","15/28943",5.1120623205054e-05,0.00195871605171408,0.00152289977562419,"Nr1h3/Ces1a/Ces1d/Ces1f",4
"GO:0035815","positive regulation of renal sodium excretion","4/417","15/28943",5.1120623205054e-05,0.00195871605171408,0.00152289977562419,"Agtr2/Avpr1a/Agt/Edn1",4
"GO:0006939","smooth muscle contraction","9/417","117/28943",5.14613913911878e-05,0.00195871605171408,0.00152289977562419,"Atp1a2/Tbxa2r/Npy1r/Comp/Agt/Trpv1/Cacna1g/Tbx2/Edn1",9
"GO:0006959","humoral immune response","18/417","425/28943",5.27201854550755e-05,0.00198615229285856,0.00154423142573567,"Cd55/Wfdc3/Cfi/Cxcl13/C1s1/Rarres2/C1s2/Adm/Lgals4/Cfd/Ang3/Wfdc17/Wfdc21/Colec11/Kng2/C4b/C3/Cfb",18
"GO:0042304","regulation of fatty acid biosynthetic process","6/417","48/28943",6.34811973239796e-05,0.00236739980323366,0.00184065098460917,"Slc45a3/Nr1h3/Ceacam1/Apoc1/Avpr1a/Agt",6
"GO:0050890","cognition","16/417","358/28943",7.30008713931043e-05,0.00269519217183341,0.00209550922409469,"Atp1a2/Gpr155/Gpr88/Kcnab1/Musk/Atp8a1/Shank1/Igf1/S100b/Agt/Fam107a/Ppp1r1b/Adcy1/Peg13/Chrd/Prkn",16
"GO:0015849","organic acid transport","15/417","322/28943",7.70256566022508e-05,0.00281563093243079,0.0021891502402745,"Agtr2/Pla2g5/Ceacam1/Slc1a5/Slco2b1/Fxyd1/Avpr1a/Slc7a2/Agt/Gfap/Acsl6/Trpv1/Edn1/Slc26a8/Slc6a7",15
"GO:0097237","cellular response to toxic substance","6/417","50/28943",8.02342731487182e-05,0.0028628069143544,0.00222582951914365,"Prdx6/Cat/Gch1/Prkn/Aldh1a1/Aldh1a7",6
"GO:0006006","glucose metabolic process","12/417","217/28943",8.05656065828327e-05,0.0028628069143544,0.00222582951914365,"Slc45a3/Irs1/Oas1g/Gckr/Gnb3/Igf1/Npy1r/Fgl1/Gpd1/Adipoq/Apod/Prkn",12
"GO:1904705","regulation of vascular associated smooth muscle cell proliferation","7/417","72/28943",8.06424482916732e-05,0.0028628069143544,0.00222582951914365,"Ppargc1a/Igf1/Mmp2/Agt/Edn1/Adamts1/Adipoq",7
